etf,days_in_ledger,long_pnl_usd,short_pnl_usd,gross_trading_pnl_usd,borrow_paid_usd,borrow_underlying_usd,margin_debit_allocated_usd,short_credit_usd,net_financing_allocated_usd,txn_cost_usd,turnover_usd,rebalance_days,gross_notional_mean,gross_notional_max,net_trading_pnl_usd,flow_sleeve_alloc_max_usd,flow_sleeve_alloc_days_gt0,underlying,beta_abs,bucket_universe,incumbent_cohort,from_screener_extra,pair_weight_gtp,bucket_runtime_last
NFXL,396,26090.669776916504,-23983.598600387573,2107.0711765289307,852.1763342483163,0.0,852.5400903501902,592.4612260323885,260.0788643178017,342.22644474382133,329108.0131816864,84,40471.59715974692,115291.16814422607,652.5895332189914,0.0,0,NFLX,2.001,bucket_core_screener,post_start,1,0.004385684594571566,bucket_core_screener
SBTU,132,-12214.901954650879,14312.758637666702,2097.8566830158234,839.353531250081,0.0,268.8707743282925,201.11544625389496,67.75532807439755,275.36905150159953,197743.76982235909,29,50609.88730341738,81385.8786649704,915.3787721897453,0.0,0,SBET,2.007,bucket_core_screener,post_start,1,0.006088668993423689,bucket_core_screener
CLSX,157,46815.309509277344,-44720.55644035339,2094.75306892395,5646.573544605723,0.0,1635.3561777229002,1233.1496239504681,402.2065537724321,1560.0033889239626,1213468.3356285095,34,251338.0370580831,399770.41024398804,-5514.03041837817,0.0,0,CLSK,1.998,bucket_core_screener,post_start,0,0.001995134656256408,bucket_core_screener
OSCX,152,3659.5409727096558,-1605.3663940429688,2054.174578666687,1026.071459468099,0.0,307.9339494910617,233.92121618469076,74.01273330637092,261.89656215769764,214803.5877714157,33,49506.726775250936,75706.07114887238,692.1938237345194,0.0,0,OSCR,1.997,bucket_core_screener,post_start,1,0.007551013074938658,bucket_core_screener
CVNX,234,6850.9295654296875,-4912.754554748535,1938.1750106811523,1634.6214655964939,0.0,323.0257683277894,240.05502089050478,82.97074743728466,198.2314359301842,196242.59418296814,50,30193.3734235356,72017.51811599731,22.351361717189583,0.0,0,CVNA,1.995,bucket_core_screener,post_start,1,0.0015753257395543171,bucket_core_screener
LMNX,137,4718.898857116699,-2881.226863861084,1837.6719932556152,2188.260791813953,0.0,222.8685021424542,169.71691206316098,53.15159007929319,172.24834346565717,163262.00273895264,30,40521.537937233916,69129.71755218506,-575.9887321032879,0.0,0,LMND,2.005,bucket_core_screener,post_start,1,0.0015909676522581815,bucket_core_screener
MPG,127,5250.919578552246,-3460.9504618644714,1789.9691166877747,1499.0159889898907,0.0,145.35395801377007,111.16023340525507,34.19372460851499,96.6177377938752,91145.3101439476,28,28735.829575501088,40740.59443569183,160.1416652954937,0.0,0,MP,1.999,bucket_core_screener,post_start,1,0.0014789941519954921,bucket_core_screener
ARMG,325,-4297.110015869141,6002.871909618378,1705.761893749237,1401.8402469177602,0.0,444.28185788261993,309.8697009885619,134.41215689405806,252.57081842029058,246276.29096841812,69,26954.585729063474,84093.70153999329,-83.0613284828718,0.0,0,ARM,1.992,bucket_core_screener,post_start,0,0.004133184001766404,bucket_core_screener
KTUP,157,-9074.509811401367,10588.210186004639,1513.7003746032715,2403.454793832932,0.0,276.0712840762429,206.5134131874919,69.55787088875101,190.75152452985296,183376.19295597076,34,42442.37527617679,63326.15828323364,-1150.0638146482643,0.0,0,KTOS,2.011,bucket_core_screener,post_start,0,0.0016973939083459759,bucket_core_screener
AVGG,243,19427.211349487305,-17931.98026752472,1495.2310819625854,68.4044012925302,0.0,380.8578349812989,283.2235668926581,97.6342680886408,192.35159197515716,189970.43131828308,52,33879.62892652441,78105.33912658691,1136.8408206062572,0.0,0,AVGO,1.993,bucket_core_screener,post_start,0,0.0033596381989313604,bucket_core_screener
