run_date,underlying,qty_b1,qty_b2,qty_b4,ledger_total,ibkr_position,diff_ledger_minus_ibkr
2026-04-21,BITX,-295.0,0.0,0.0,-295.0,-290.0,-5.0
2026-04-21,NVYY,-5.0,0.0,0.0,-5.0,-9.0,4.0
2026-04-21,ABNB,14.0,0.0,0.0,14.0,18.0,-4.0
2026-04-21,QCOM,55.0,0.0,0.0,55.0,59.0,-4.0
2026-04-21,ALAB,106.0,0.0,0.0,106.0,110.0,-4.0
2026-04-21,AMZZ,-187.0,0.0,0.0,-187.0,-191.0,4.0
2026-04-21,GDXU,-10.0,0.0,0.0,-10.0,-6.0,-4.0
2026-04-21,GGLL,-50.0,0.0,0.0,-50.0,-46.0,-4.0
2026-04-21,ARM,9.0,0.0,0.0,9.0,13.0,-4.0
2026-04-21,BOEU,-107.0,0.0,0.0,-107.0,-103.0,-4.0
2026-04-21,HOOD,53.0,0.0,0.0,53.0,57.0,-4.0
2026-04-21,PANW,130.0,0.0,0.0,130.0,133.0,-3.0
2026-04-21,PLTR,211.0,0.0,0.0,211.0,214.0,-3.0
2026-04-21,QQQ,3.0,0.0,0.0,3.0,6.0,-3.0
2026-04-21,BABA,55.0,0.0,0.0,55.0,58.0,-3.0
2026-04-21,SPXL,0.0,0.0,0.0,0.0,-3.0,3.0
2026-04-21,SPY,0.0,0.0,0.0,0.0,3.0,-3.0
2026-04-21,TARK,-28.0,0.0,0.0,-28.0,-31.0,3.0
2026-04-21,NVDB,-167.0,0.0,0.0,-167.0,-164.0,-3.0
2026-04-21,AMD,151.0,0.0,0.0,151.0,154.0,-3.0
2026-04-21,MSTR,129.0,0.0,0.0,129.0,132.0,-3.0
2026-04-21,MU,21.0,0.0,0.0,21.0,23.0,-2.0
2026-04-21,RDDT,26.0,0.0,0.0,26.0,28.0,-2.0
2026-04-21,CRM,49.0,0.0,0.0,49.0,51.0,-2.0
2026-04-21,AMUU,-99.0,0.0,0.0,-99.0,-97.0,-2.0
2026-04-21,LMT,2.0,0.0,0.0,2.0,0.0,2.0
2026-04-21,COIN,27.0,0.0,0.0,27.0,29.0,-2.0
2026-04-21,LLY,0.0,0.0,0.0,0.0,2.0,-2.0
2026-04-21,AMZN,96.0,0.0,0.0,96.0,98.0,-2.0
2026-04-21,SNOW,49.0,0.0,0.0,49.0,51.0,-2.0
2026-04-21,NVDA,206.0,0.0,0.0,206.0,208.0,-2.0
2026-04-21,UNH,30.0,0.0,0.0,30.0,32.0,-2.0
2026-04-21,CEG,34.0,0.0,0.0,34.0,36.0,-2.0
2026-04-21,ASML,4.0,0.0,0.0,4.0,6.0,-2.0
2026-04-21,TSLA,50.0,0.0,0.0,50.0,51.0,-1.0
2026-04-21,KORU,-1.0,0.0,0.0,-1.0,-2.0,1.0
2026-04-21,TSM,44.0,0.0,0.0,44.0,45.0,-1.0
2026-04-21,AAPL,61.0,0.0,0.0,61.0,62.0,-1.0
2026-04-21,APHU,-58.0,0.0,0.0,-58.0,-59.0,1.0
2026-04-21,GOOGL,61.0,0.0,0.0,61.0,62.0,-1.0
2026-04-21,MSFT,76.0,0.0,0.0,76.0,77.0,-1.0
2026-04-21,APP,6.0,0.0,0.0,6.0,7.0,-1.0
2026-04-21,AMZO,-502.0,0.0,0.0,-502.0,-503.0,1.0
2026-04-21,NVDU,-38.0,0.0,0.0,-38.0,-39.0,1.0
2026-04-21,AVL,-118.0,0.0,0.0,-118.0,-119.0,1.0
2026-04-21,ONDS,1276.0,0.0,0.0,1276.0,1276.0,0.0
2026-04-21,TTXD,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-21,ENPH,25.0,0.0,0.0,25.0,25.0,0.0
2026-04-21,ERX,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-21,CLSZ,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-21,TSMU,-53.0,0.0,0.0,-53.0,-53.0,0.0
2026-04-21,CLSK,717.0,0.0,0.0,717.0,717.0,0.0
2026-04-21,KLAC,6.0,0.0,0.0,6.0,6.0,0.0
2026-04-21,TTD,93.0,0.0,0.0,93.0,93.0,0.0
2026-04-21,CLS,7.0,0.0,0.0,7.0,7.0,0.0
2026-04-21,U,152.0,0.0,0.0,152.0,152.0,0.0
