date,nav,cash,u_notional,s_notional,borrow_cost,rebalance_friction
2025-02-14,1140321.9074753623,1364952.3444530782,-108654.41722844199,-115976.01974927398,28.21489418487127,0.0
2025-02-18,1140557.816071346,1364924.140821733,-107650.21743890001,-116716.10731148713,28.203631345132397,0.0
2025-02-19,1142072.5160372595,1364896.0903769443,-105280.30838724058,-117543.2659524442,28.050444788680345,0.0
2025-02-20,1141391.8431634412,1364867.9761851167,-106324.67862002389,-117151.45440165164,28.114191827563456,0.0
2025-02-21,1134752.3942871543,1364839.3172266728,-120945.82510409543,-109141.09783542289,28.65895844383129,0.0
2025-02-24,1134462.9784023021,1364810.6484730188,-121990.19533687874,-108357.47473383778,28.66875365409336,0.0
2025-02-25,1133778.5646202355,1364781.9275909625,-123516.57411366326,-107486.78885706385,28.720882056222827,0.0
2025-02-26,1136339.8738926991,1364753.4398033991,-118575.91605243602,-109837.64985826408,28.48778756337677,0.0
2025-02-27,1129180.203896207,1364724.297522374,-131670.67150142483,-103873.42212474202,29.142281025273864,0.0
2025-02-28,1132420.8946281702,1364695.4769104205,-126529.17348228919,-105745.40879996087,28.820611953395456,0.0
2025-03-03,1118824.2652003719,1197148.9952321365,-26108.24334392154,-52216.48668784306,30.13360152718757,100.44953912258057
2025-03-04,1118996.9910953634,1197138.918882086,-27346.774832341227,-50795.15295438136,10.076350050617158,0.0
2025-03-05,1119447.7815585341,1197809.20568132,-26120.474707595295,-52240.9494151906,10.075544556387003,1.1344812642251039
2025-03-06,1119212.5047445684,1197799.1818432237,-31896.903980871575,-46689.77311778369,10.023838096205742,0.0
2025-03-07,1120528.484253023,1198965.7694750025,-26145.76174065981,-52291.523481319615,9.912524976962796,4.161775254662491
2025-03-10,1119967.1494976121,1198955.6851646926,-31691.42690855607,-47297.10875852429,10.08431031001502,0.0
2025-03-11,1120070.724767592,1198476.1210886613,-26135.13210702305,-52270.26421404611,10.068288211365797,6.36553339614146
2025-03-12,1120061.6163785383,1198465.9133000784,-23534.34607954484,-54869.9508419952,10.20778858284249,0.0
2025-03-13,1120265.8583231054,1198684.5005204743,-26139.547399123006,-52279.094798246,10.1254999250209,0.4587821665751064
2025-03-14,1120447.0029422315,1198674.2708323977,-21683.301668157357,-56543.96622200902,10.229688076505484,0.0
2025-03-17,1119963.5855804218,1243364.0403080906,-45858.02822020752,-77542.42650746128,10.335697839331475,26.83616480300115
2025-03-18,1119570.6249872388,1243348.2048494609,-48340.70579732565,-75436.87406489655,15.835458629745869,0.0
2025-03-19,1120321.699210855,1243332.3922882504,-45032.6388503291,-77978.05422706626,15.812561210430736,0.0
2025-03-20,1120494.9118687925,1252267.7587882595,-50030.84110590609,-81742.005813561,15.82332394619728,5.3739382573276355
2025-03-21,1120821.9799739053,1252250.9071494902,-49836.6354209405,-81592.29175464436,16.8516387692098,0.0
2025-03-24,1122266.501088613,1252234.1013670855,-43621.994234613616,-86345.60604385888,16.805782404702104,0.0
2025-03-25,1121692.7759722725,1321416.4236370567,-92087.17838654277,-107636.4692782415,16.862922185012913,41.544437777960624
2025-03-26,1119749.4043075354,1321391.0978790051,-97599.32347950281,-104042.37009196679,25.325758051623524,0.0
2025-03-27,1118400.145180607,1321365.6311002667,-99249.86021087623,-103715.62570878353,25.466778738427273,0.0
2025-03-28,1110487.6408372798,1321339.5135893081,-116658.28935273274,-94193.58339929565,26.117510958623683,0.0
2025-03-31,1110415.3700932711,1321313.372208981,-115957.5922177436,-94940.40989796631,26.14138032715615,0.0
2025-04-01,1110560.2488520727,1321287.2594344595,-116160.01393375562,-94566.99664863099,26.11277452153236,0.0
2025-04-02,1114273.4371846996,1321261.5073528236,-109993.88294737642,-96994.18722074766,25.752081635973944,0.0
2025-04-03,1083485.8408576865,1159336.6452821817,-25283.601474831736,-50567.202949663464,28.628836539525473,97.07949224511434
2025-04-04,1083703.6163299836,1159327.1133676816,-35252.840188055176,-40370.65684964307,9.531914500092784,0.0
2025-04-07,1081692.90087723,1157412.1715389383,-25239.75688723603,-50479.513774472056,9.804124313795928,10.965718599627067
2025-04-08,1084051.3946216304,1157402.8642578428,-31723.993700273313,-41627.47593593907,9.307281095495426,0.0
