symbol,target_net_usd,actual_net_usd,discrepancy_usd,abs_discrepancy_usd,target_gross_usd,actual_gross_usd,gross_gap_usd,under_exposed
UVIX,-9075.671747404263,-2925.7599999999998,6149.911747404263,6149.911747404263,9075.671747404263,2925.7599999999998,-6149.911747404263,True
ZSL,0.0,-6067.62,-6067.62,6067.62,0.0,6067.62,6067.62,False
CRMX,-21362.445884429504,-15450.81,5911.635884429505,5911.635884429505,21362.445884429504,15450.81,-5911.635884429505,True
NVTX,-19816.73437183357,-13929.85,5886.884371833568,5886.884371833568,19816.73437183357,13929.85,-5886.884371833568,True
CLSZ,0.0,-5469.099999999999,-5469.099999999999,5469.099999999999,0.0,5469.099999999999,5469.099999999999,False
SDS,0.0,-5426.62,-5426.62,5426.62,0.0,5426.62,5426.62,False
CRCD,0.0,-4874.87,-4874.87,4874.87,0.0,4874.87,4874.87,False
RKLX,-2081.7129587264635,-6955.38,-4873.667041273537,4873.667041273537,2081.7129587264635,6955.38,4873.667041273537,False
KEEX,-5397.431298505887,-10024.949999999999,-4627.518701494112,4627.518701494112,5397.431298505887,10024.949999999999,4627.518701494112,False
BEG,-4117.129091153752,-8671.67,-4554.540908846248,4554.540908846248,4117.129091153752,8671.67,4554.540908846248,False
CRDU,-3571.5735182430303,-8106.12,-4534.54648175697,4534.54648175697,3571.5735182430303,8106.12,4534.54648175697,False
RKLZ,-1539.18825282877,-6073.22,-4534.031747171231,4534.031747171231,1539.18825282877,6073.22,4534.031747171231,False
SNDQ,-4343.53081517871,0.0,4343.53081517871,4343.53081517871,4343.53081517871,0.0,-4343.53081517871,True
NBIL,-4727.148204947941,-8900.564,-4173.415795052059,4173.415795052059,4727.148204947941,8900.564,4173.415795052059,False
TSLQ,0.0,-4030.8199999999997,-4030.8199999999997,4030.8199999999997,0.0,4030.8199999999997,4030.8199999999997,False
IREG,-9241.683967765322,-13252.0371,-4010.353132234677,4010.353132234677,9241.683967765322,13252.0371,4010.353132234677,False
LABX,-4970.48577980153,-8931.88,-3961.394220198469,3961.394220198469,4970.48577980153,8931.88,3961.394220198469,False
MSDD,0.0,-3925.75,-3925.75,3925.75,0.0,3925.75,3925.75,False
NEBX,-5617.189252260399,-9344.72,-3727.5307477396,3727.5307477396,5617.189252260399,9344.72,3727.5307477396,False
BEZ,-1964.3943738440985,-5194.35,-3229.955626155902,3229.955626155902,1964.3943738440985,5194.35,3229.955626155902,False
FAZ,0.0,-3228.3399999999997,-3228.3399999999997,3228.3399999999997,0.0,3228.3399999999997,3228.3399999999997,False
CORD,-5210.145184333164,-8320.245,-3110.0998156668365,3110.0998156668365,5210.145184333164,8320.245,3110.0998156668365,False
NVDQ,0.0,-3019.38,-3019.38,3019.38,0.0,3019.38,3019.38,False
SNDU,-8205.368866058938,-5342.400000000001,2862.9688660589372,2862.9688660589372,8205.368866058938,5342.400000000001,-2862.9688660589372,True
EOSU,-17764.577260283728,-14976.2,2788.377260283727,2788.377260283727,17764.577260283728,14976.2,-2788.377260283727,True
NBIZ,-3833.282187771678,-6594.075,-2760.792812228322,2760.792812228322,3833.282187771678,6594.075,2760.792812228322,False
SQQQ,0.0,-2585.1,-2585.1,2585.1,0.0,2585.1,2585.1,False
RGTZ,-2755.005275139152,-5283.200000000001,-2528.1947248608485,2528.1947248608485,2755.005275139152,5283.200000000001,2528.1947248608485,False
ASTX,-14325.854800585072,-16739.170000000002,-2413.3151994149302,2413.3151994149302,14325.854800585072,16739.170000000002,2413.3151994149302,False
OKLL,-8573.057863913275,-6272.1,2300.957863913274,2300.957863913274,8573.057863913275,6272.1,-2300.957863913274,True
RDWU,0.0,-2275.3500000000004,-2275.3500000000004,2275.3500000000004,0.0,2275.3500000000004,2275.3500000000004,False
UECG,-5649.727755695296,-3389.408,2260.319755695296,2260.319755695296,5649.727755695296,3389.408,-2260.319755695296,True
LABD,0.0,-2260.0,-2260.0,2260.0,0.0,2260.0,2260.0,False
UUUG,-7971.809473886725,-5740.0,2231.809473886725,2231.809473886725,7971.809473886725,5740.0,-2231.809473886725,True
