symbol,underlying,bucket,leg_class,total_pnl
CMGG,CMG,bucket_1,core_levered_etf,780.5423465670224
CNCG,CNC,bucket_1,core_levered_etf,744.4515476391475
COHX,COHR,bucket_1,core_levered_etf,-224.0000852119979
COIA,COIN,bucket_1,core_levered_etf,-563.99063842
COIG,COIN,bucket_1,core_levered_etf,89.57890475
COIW,COIN,bucket_2,yieldboost_etf,1853.77306779
CONX,COIN,bucket_1,core_levered_etf,278.79953305463636
CONY,COIN,bucket_2,yieldboost_etf,58.32352075000001
COPZ,COPX,bucket_1,core_levered_etf,1244.439502717347
COTG,COST,bucket_1,core_levered_etf,-70.17239379453179
COZX,CORZ,bucket_1,core_levered_etf,-1498.8175757981242
CRCG,CRCL,bucket_1,core_levered_etf,1267.67428513934
CRDU,CRDO,bucket_1,core_levered_etf,-5832.145151385824
CRMG,CRM,bucket_1,core_levered_etf,1399.8515662332902
CRMU,CRML,bucket_1,core_levered_etf,99.18021680707164
CRWG,CRWV,bucket_1,core_levered_etf,154.66591106
CRWL,CRWD,bucket_1,core_levered_etf,896.0530124123829
CSCL,CSCO,bucket_1,core_levered_etf,-1089.835537865533
CSEX,CLS,bucket_1,core_levered_etf,-606.2513457021579
CVNY,CVNA,bucket_2,yieldboost_etf,896.02958389
CWEB,KWEB,bucket_1,core_levered_etf,519.4940603432085
CWVX,CRWV,bucket_1,core_levered_etf,-2677.6911575314534
DJTU,DJT,bucket_1,core_levered_etf,-17.058517028150035
DLLL,DELL,bucket_1,core_levered_etf,-1185.1432605432815
DNNG,DNN,bucket_1,core_levered_etf,-66.18772422613377
DOGD,DDOG,bucket_1,core_levered_etf,295.89081014523833
DRAY,DKNG,bucket_2,yieldboost_etf,250.06135652852558
DUOG,DUOL,bucket_1,core_levered_etf,-505.41172176694
DUST,GDX,bucket_3,flow_inverse,-1701.598507318154
DXD,DIA,bucket_4,inverse_b4_etf,-26.10723037
ELIL,LLY,bucket_1,core_levered_etf,509.4595108313479
ENPX,ENPH,bucket_1,core_levered_etf,-251.79506773137027
EOSU,EOSE,bucket_1,core_levered_etf,-5535.71638508
ERX,XLE,bucket_1,core_levered_etf,-466.57183825
ETHT,ETHA,bucket_1,core_levered_etf,1633.2356235455488
ETHU,ETHA,bucket_1,core_levered_etf,840.9181770055221
ETRL,ETOR,bucket_1,core_levered_etf,-409.0022773357609
ETU,ETHA,bucket_1,core_levered_etf,235.2790348634888
EWV,EWJ,bucket_3,flow_inverse,-377.140797713885
FAZ,XLF,bucket_3,flow_inverse,159.02036215865735
FBL,META,bucket_1,core_levered_etf,-125.83153935996815
FBY,META,bucket_2,yieldboost_etf,17.078057559999987
